file,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARES
fold_10_model_0.cif,0,0
fold_11_model_0.cif,0,113.45
fold_12_model_0.cif,151.59,0
fold_13_model_0.cif,51.44,59.68
fold_14_model_0.cif,52.56,0
fold_15_model_0.cif,117.43,0
fold_16_model_0.cif,137.14,0
fold_17_model_0.cif,0,0
fold_18_model_0.cif,0,0
fold_19_model_0.cif,74.21,0
fold_1_model_0.cif,0,0
fold_20_model_0.cif,422.01,0
fold_21_model_0.cif,195.64,415.33
fold_22_model_0.cif,0,0
fold_23_model_0.cif,242.46,132.73
fold_24_model_0.cif,0,0
fold_25_model_0.cif,12.77,0
fold_26_model_0.cif,0,0
fold_27_model_0.cif,17.15,0
fold_28_model_0.cif,374.18,264.89
fold_29_model_0.cif,0,0
fold_2_model_0.cif,0,85.67
fold_30_model_0.cif,0,169.28
fold_31_model_0.cif,0,0
fold_32_model_0.cif,0,82.94
fold_33_model_0.cif,30.81,0
fold_34_model_0.cif,215.21,2.44
fold_35_model_0.cif,158.39,0
fold_36_model_0.cif,148.52,69.49
fold_37_model_0.cif,12.26,130.34
fold_38_model_0.cif,0,0
fold_39_model_0.cif,0,0
fold_3_model_0.cif,0,0
fold_40_model_0.cif,130.99,0
fold_41_model_0.cif,0,0
fold_42_model_0.cif,0,52.18
fold_43_model_0.cif,9.98,0
fold_44_model_0.cif,25.71,0
fold_45_model_0.cif,0,32.93
fold_46_model_0.cif,0,0
fold_47_model_0.cif,457.03,34.22
fold_48_model_0.cif,185.46,0
fold_49_model_0.cif,352.24,0
fold_4_model_0.cif,161.2,32.09
fold_50_model_0.cif,193.61,252.08
fold_51_model_0.cif,329.19,0
fold_52_model_0.cif,341.44,127.69
fold_53_model_0.cif,0,0
fold_54_model_0.cif,50.1,0
fold_55_model_0.cif,0,0
fold_56_model_0.cif,0,0
fold_57_model_0.cif,55.23,115.86
fold_58_model_0.cif,5.72,0
fold_59_model_0.cif,101.53,0
fold_5_model_0.cif,21.16,0
fold_60_model_0.cif,121.44,47.92
fold_6_model_0.cif,0,0
fold_7_model_0.cif,8.68,0
fold_8_model_0.cif,474.79,76.4
fold_9_model_0.cif,231.34,69.42
Copy of fold_2025_05_13_10_11_rt_stx_n_del_s47_1_model_0.cif,0,0
Copy of fold_2025_05_13_10_12_rt_stx_n_del_s47_2_model_0.cif,36.76,0
Copy of fold_2025_05_13_10_12_rt_stx_n_del_s47_3_model_0.cif,81.59,0
Copy of fold_2025_05_13_10_12_rt_stx_n_del_s47_4_model_0.cif,255.23,328.36
Copy of fold_2025_05_13_10_12_rt_stx_n_del_s47_5_model_0.cif,0,0
Copy of fold_2025_05_13_10_16_rt_stx_n_del_s47_6_model_0.cif,414.29,206.52
Copy of fold_2025_05_13_10_16_rt_stx_n_del_s47_7_model_0.cif,0,0
Copy of fold_2025_05_13_10_17_rt_stx_n_del_s47_10_model_0.cif,104.3,7.18
Copy of fold_2025_05_13_10_17_rt_stx_n_del_s47_8_model_0.cif,300.93,116.91
Copy of fold_2025_05_13_10_17_rt_stx_n_del_s47_9_model_0.cif,219.74,0
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_11_model_0.cif,371.7,298.64
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_12_model_0.cif,38.8,0
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_13_model_0.cif,71.9,374.68
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_14_model_0.cif,0,0
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_15_model_0.cif,0,0
Copy of fold_2025_05_13_10_21_rt_stx_n_del_s47_16_model_0.cif,0,0
Copy of fold_2025_05_13_10_24_rt_stx_n_del_s47_17_model_0.cif,361.05,249.4
Copy of fold_2025_05_13_10_24_rt_stx_n_del_s47_18_model_0.cif,166.53,0
Copy of fold_2025_05_13_10_24_rt_stx_n_del_s47_19_model_0.cif,266.34,0
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_20_model_0.cif,24.16,0
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_21_model_0.cif,52.6,27.1
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_22_model_0.cif,0,0
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_23_model_0.cif,161.4,197.9
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_24_model_0.cif,0,11.26
Copy of fold_2025_05_13_10_26_rt_stx_n_del_s47_25_model_0.cif,0,0
Copy of fold_2025_05_13_10_37_rt_stx_n_del_s47_26_model_0.cif,107.33,291.61
Copy of fold_2025_05_13_10_37_rt_stx_n_del_s47_27_model_0.cif,0,6
Copy of fold_2025_05_13_10_37_rt_stx_n_del_s47_28_model_0.cif,0,0
Copy of fold_2025_05_13_10_37_rt_stx_n_del_s47_29_model_0.cif,180.58,0
Copy of fold_2025_05_13_10_38_rt_stx_n_del_s47_30_model_0.cif,423.44,0
Copy of fold_2025_05_13_11_01_rt_stx_n_del_s47_31_model_0.cif,13.71,0
Copy of fold_2025_05_13_11_02_rt_stx_n_del_s47_32_model_0.cif,428.15,283.02
Copy of fold_2025_05_13_11_02_rt_stx_n_del_s47_33_model_0.cif,187.4,0
Copy of fold_2025_05_13_11_02_rt_stx_n_del_s47_34_model_0.cif,95.48,0
Copy of fold_2025_05_13_11_02_rt_stx_n_del_s47_35_model_0.cif,0,0
fold_binary_ntd_10_model_0.cif,0,0
fold_binary_ntd_11_model_0.cif,433.45,215.92
fold_binary_ntd_12_model_0.cif,0,0
fold_binary_ntd_13_model_0.cif,0,0
fold_binary_ntd_14_model_0.cif,0,87.62
fold_binary_ntd_15_model_0.cif,254.45,416.46
fold_binary_ntd_16_model_0.cif,0,0
fold_binary_ntd_17_model_0.cif,0,0
fold_binary_ntd_18_model_0.cif,0,0
fold_binary_ntd_19_model_0.cif,92.91,0
fold_binary_ntd_1_model_0.cif,185.41,191.88
fold_binary_ntd_20_model_0.cif,243.07,0
fold_binary_ntd_21_model_0.cif,45.13,0
fold_binary_ntd_22_model_0.cif,322.8,29.37
fold_binary_ntd_23_model_0.cif,0,0
fold_binary_ntd_24_model_0.cif,0,0
fold_binary_ntd_25_model_0.cif,141.01,1.54
fold_binary_ntd_26_model_0.cif,86.14,0
fold_binary_ntd_27_model_0.cif,102.32,0
fold_binary_ntd_28_model_0.cif,59.96,0
fold_binary_ntd_29_model_0.cif,84.79,0
fold_binary_ntd_2_model_0.cif,79.64,0
fold_binary_ntd_3_model_0.cif,191.79,0
fold_binary_ntd_4_model_0.cif,80.24,0
fold_binary_ntd_5_model_0.cif,404.54,176.6
fold_binary_ntd_6_model_0.cif,0,378.18
fold_binary_ntd_7_model_0.cif,297.77,6.04
fold_binaryntd_1_model_0.cif,346.37,0
fold_binaryntd_2_model_0.cif,115.26,2.27
fold_binaryntd_3_model_0.cif,2.6,0
fold_binaryntd_4_model_0.cif,284.01,285.59
fold_binaryntd_5_model_0.cif,115.97,0
fold_binaryntd_6_model_0 copy.cif,0,0
fold_binaryntd_6_model_0.cif,38.29,0
fold_binaryntd_7_model_0.cif,0,0
chris_fold_10_model_0.cif,430.9,250.52
chris_fold_11_model_0.cif,158.2,0
chris_fold_12_model_0.cif,0,0
chris_fold_13_model_0.cif,37.04,0
chris_fold_14_model_0.cif,310.16,97.91
chris_fold_15_model_0.cif,0,191.75
chris_fold_16_model_0.cif,190.14,0
chris_fold_17_model_0.cif,0,0
chris_fold_18_model_0.cif,451.32,244.79
chris_fold_19_model_0.cif,0,140.81
chris_fold_1_model_0.cif,1.52,0
chris_fold_20_model_0.cif,23.46,0
chris_fold_21_model_0.cif,27.07,0
chris_fold_22_model_0.cif,31,0
chris_fold_23_model_0.cif,0,0
chris_fold_24_model_0.cif,44.02,0
chris_fold_25_model_0.cif,399.25,272.73
chris_fold_26_model_0.cif,0,0
chris_fold_27_model_0.cif,216.24,61.53
chris_fold_28_model_0.cif,242.82,0
chris_fold_29_model_0.cif,54.95,0
chris_fold_2_model_0.cif,163.81,0
chris_fold_30_model_0.cif,481.65,0
chris_fold_31_model_0.cif,8.75,131.96
chris_fold_32_model_0.cif,1.53,305.02
chris_fold_33_model_0.cif,427.6,243.72
chris_fold_3_model_0.cif,0,131.44
chris_fold_4_model_0.cif,0,0
chris_fold_5_model_0.cif,157.07,0
chris_fold_6_model_0.cif,4.19,0
chris_fold_7_model_0.cif,399.69,412.63
chris_fold_8_model_0.cif,312.09,0
chris_fold_9_model_0.cif,318.09,35.19