file,S47_PH1:SYB_SNARE,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARE,S47_PH1:S47_PH2,S47_PH2:SYB_SNARE,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARE
fold_20250529_s47_fl_syb_fullsn_stx3_sn_001_model_0.cif,0,33.16,379.6,607.43,237.89,0,242.96
fold_20250529_s47_fl_syb_fullsn_stx3_sn_002_model_0.cif,0,29.79,374.19,621.3,360.3,0,219.84
fold_20250529_s47_fl_syb_fullsn_stx3_sn_003_model_0.cif,0,161.51,426.44,0,197.76,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_004_model_0.cif,0,34.09,330.84,616.69,260.45,0,263.99
fold_20250529_s47_fl_syb_fullsn_stx3_sn_005_model_0.cif,0,14.64,371.58,591.72,284.74,0,234.41
fold_20250529_s47_fl_syb_fullsn_stx3_sn_006_model_0.cif,0,33.62,373.72,655.4,247.62,0,201.06
fold_20250529_s47_fl_syb_fullsn_stx3_sn_007_model_0.cif,0,48.3,335.77,603.09,290.46,0,222.18
fold_20250529_s47_fl_syb_fullsn_stx3_sn_008_model_0.cif,0,46.15,283.88,0,278.18,561.42,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_009_model_0.cif,0,24.59,240.6,0,16.45,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_010_model_0.cif,0,0,260.27,19.77,122.11,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_011_model_0.cif,0,54.91,395.13,639,273.36,0,260.98
fold_20250529_s47_fl_syb_fullsn_stx3_sn_012_model_0.cif,0,12.66,386.64,689.4,314.37,0,225.36
fold_20250529_s47_fl_syb_fullsn_stx3_sn_013_model_0.cif,0,52.23,345.51,599.35,253.46,0,251.34
fold_20250529_s47_fl_syb_fullsn_stx3_sn_014_model_0.cif,0,33.74,387.12,610.87,339.08,0,273.38
fold_20250529_s47_fl_syb_fullsn_stx3_sn_015_model_0.cif,0,35.69,300.24,603.4,298.34,0,234.95
fold_20250529_s47_fl_syb_fullsn_stx3_sn_016_model_0.cif,0,63.93,332.49,618.6,198.66,0,277.51
fold_20250529_s47_fl_syb_fullsn_stx3_sn_017_model_0.cif,0,0,223.76,0,104.54,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_018_model_0.cif,0,32.3,364.09,593.87,255.96,0,219.01
fold_20250529_s47_fl_syb_fullsn_stx3_sn_019_model_0.cif,0,28.63,294.95,0,7.88,138.44,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_020_model_0.cif,0,31.42,231.56,0,0,421.14,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_021_model_0.cif,0,7.11,296.06,0,25.64,171.08,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_022_model_0.cif,0,31.29,335.68,610.23,292.73,0,246.19
fold_20250529_s47_fl_syb_fullsn_stx3_sn_023_model_0.cif,0,22.56,309.19,614.81,188.66,0,266.51
fold_20250529_s47_fl_syb_fullsn_stx3_sn_024_model_0.cif,0,64.2,375.59,593.68,231.62,0,233.56
fold_20250529_s47_fl_syb_fullsn_stx3_sn_025_model_0.cif,0,0,261.34,0,355.06,38.11,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_026_model_0.cif,0,35.12,254.1,5.84,0,381.38,86.73
fold_20250529_s47_fl_syb_fullsn_stx3_sn_027_model_0.cif,0,54.97,326.27,0,61.1,96.02,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_028_model_0.cif,0,14.14,240.38,0,3.84,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_029_model_0.cif,0,8.89,231.28,0,337.22,362.3,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_030_model_0.cif,0,37.93,346.38,742.5,307.05,0,219.67
fold_20250529_s47_fl_syb_fullsn_stx3_sn_031_model_0.cif,0,44.75,361.57,582.27,283.7,0,252.57
fold_20250529_s47_fl_syb_fullsn_stx3_sn_032_model_0.cif,0,60.96,346.84,593.66,232.38,0,273.23
fold_20250529_s47_fl_syb_fullsn_stx3_sn_033_model_0.cif,0,39.83,335.46,649.51,321.9,0,232.44
fold_20250529_s47_fl_syb_fullsn_stx3_sn_034_model_0.cif,0,58.97,413.62,619.13,277.16,0,216.76
fold_20250529_s47_fl_syb_fullsn_stx3_sn_035_model_0.cif,0,37.58,255.26,0,42.29,159.33,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_036_model_0.cif,0,34.08,251.17,0,0,135.36,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_037_model_0.cif,0,39.48,214.07,0,363.37,520.26,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_038_model_0.cif,0,8.2,385.66,635.3,363.48,0,224.66
fold_20250529_s47_fl_syb_fullsn_stx3_sn_039_model_0.cif,0,88.25,345.53,651.62,213.26,0,277.55
fold_20250529_s47_fl_syb_fullsn_stx3_sn_040_model_0.cif,0,26.53,329.94,616.55,305.91,0,239.56
fold_20250529_s47_fl_syb_fullsn_stx3_sn_041_model_0.cif,0,42.84,352.02,602.27,250.72,0,260.64
fold_20250529_s47_fl_syb_fullsn_stx3_sn_042_model_0.cif,0,67.44,340.17,0,6.98,88.64,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_043_model_0.cif,0,124.18,347.56,0,6.67,173.53,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_044_model_0.cif,0,1.74,253.6,0,0,23.42,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_045_model_0.cif,222.37,0,316.3,0,0,171.02,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_046_model_0.cif,0,22.15,254.96,835.48,0,0,235.49
fold_20250529_s47_fl_syb_fullsn_stx3_sn_047_model_0.cif,0,42.78,337.12,641.1,267.85,0,262.74
fold_20250529_s47_fl_syb_fullsn_stx3_sn_048_model_0.cif,0,56.57,330.97,603.06,257.38,0,272.48
fold_20250529_s47_fl_syb_fullsn_stx3_sn_049_model_0.cif,0,65.4,361.92,605.34,230.37,0,264.42
fold_20250529_s47_fl_syb_fullsn_stx3_sn_050_model_0.cif,0,4.94,341.34,653.06,314.73,0,205.25
fold_20250529_s47_fl_syb_fullsn_stx3_sn_051_model_0.cif,58,8.74,253.02,0,121.33,106.24,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_052_model_0.cif,0,7.19,230.8,0,179.88,0,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_053_model_0.cif,0,13.71,355.57,666.33,342,0,227.11
fold_20250529_s47_fl_syb_fullsn_stx3_sn_054_model_0.cif,0,0,375.52,634.5,264.76,0,205.73
fold_20250529_s47_fl_syb_fullsn_stx3_sn_055_model_0.cif,0,44.9,282.66,604.96,272.57,0,247.4
fold_20250529_s47_fl_syb_fullsn_stx3_sn_056_model_0.cif,0,0,256.49,0,151.14,6.18,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_057_model_0.cif,0,32.09,346.83,635.92,280.49,0,214.9
fold_20250529_s47_fl_syb_fullsn_stx3_sn_058_model_0.cif,0,4.09,307.59,655.42,318.52,0,219.67
fold_20250529_s47_fl_syb_fullsn_stx3_sn_059_model_0.cif,0,101,340.5,83.93,0,228.42,75.93
fold_20250529_s47_fl_syb_fullsn_stx3_sn_060_model_0.cif,0,46.12,309.22,617.66,200.75,0,243.34
fold_20250529_s47_fl_syb_fullsn_stx3_sn_061_model_0.cif,0,35.88,299.59,0,310.03,519.92,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_062_model_0.cif,0,47.05,381.35,607.11,216.68,0,270.31
fold_20250529_s47_fl_syb_fullsn_stx3_sn_063_model_0.cif,0,3.26,236.61,615.83,288.07,0,250.44
fold_20250529_s47_fl_syb_fullsn_stx3_sn_064_model_0.cif,0,39.53,372.42,610.49,310.69,0,248.72
fold_20250529_s47_fl_syb_fullsn_stx3_sn_065_model_0.cif,0,31.35,370.16,611.15,233,0,212.88
fold_20250529_s47_fl_syb_fullsn_stx3_sn_066_model_0.cif,12.19,16.8,235.67,0,387.58,361.82,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_067_model_0.cif,0,9.88,263.58,0,142.56,3.39,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_068_model_0.cif,0,4.73,371.66,629.26,253.54,0,194.4
fold_20250529_s47_fl_syb_fullsn_stx3_sn_069_model_0.cif,0,81.2,392.56,604.54,253.32,0,251.6
fold_20250529_s47_fl_syb_fullsn_stx3_sn_070_model_0.cif,0,41.52,296.09,0,438.05,298.44,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_071_model_0.cif,0,61.84,344.64,664.31,239.52,0,281.61
fold_20250529_s47_fl_syb_fullsn_stx3_sn_072_model_0.cif,0,74,365.61,600.04,230.71,0,280.31
fold_20250529_s47_fl_syb_fullsn_stx3_sn_073_model_0.cif,0,15.98,387.7,621.52,298.6,0,247.13
fold_20250529_s47_fl_syb_fullsn_stx3_sn_074_model_0.cif,0,11.61,318.7,613.84,339.39,0,224.79
fold_20250529_s47_fl_syb_fullsn_stx3_sn_075_model_0.cif,0,0,236.12,0,472.39,297.37,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_076_model_0.cif,0,19.98,271.01,0,0,268.8,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_077_model_0.cif,0,36.74,250.7,0,0,257.87,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_078_model_0.cif,0,32.48,364.6,627.14,272.35,0,249.76
fold_20250529_s47_fl_syb_fullsn_stx3_sn_079_model_0.cif,0,23.69,314.8,617.37,302.56,0,241.69
fold_20250529_s47_fl_syb_fullsn_stx3_sn_080_model_0.cif,35.46,0,304.84,0,279.75,254.94,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_081_model_0.cif,0,12.93,273.81,624.4,322.73,0,230.88
fold_20250529_s47_fl_syb_fullsn_stx3_sn_082_model_0.cif,188.05,0,278.95,350.58,247.19,33.8,12.94
fold_20250529_s47_fl_syb_fullsn_stx3_sn_083_model_0.cif,20.93,32.47,283.16,0,112.26,32.5,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_084_model_0.cif,0,74.73,291.06,322.1,54.06,114.39,615.66
fold_20250529_s47_fl_syb_fullsn_stx3_sn_085_model_0.cif,0,118.27,378.77,0,0,90.78,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_086_model_0.cif,0,39.27,255.47,0,85.41,87.38,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_087_model_0.cif,0,32.6,342.85,654.1,244.89,0,248.74
fold_20250529_s47_fl_syb_fullsn_stx3_sn_088_model_0.cif,0,7.52,240.25,0,107.46,210.11,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_089_model_0.cif,0,21.18,295.52,0,19.52,88.24,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_090_model_0.cif,173.96,69.83,572.03,0,0,52.52,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_091_model_0.cif,0,11.38,311.35,651.37,271.52,0,260.56
fold_20250529_s47_fl_syb_fullsn_stx3_sn_092_model_0.cif,0,55.52,363.01,656.37,339.88,0,269.11
fold_20250529_s47_fl_syb_fullsn_stx3_sn_093_model_0.cif,0,30.34,361.32,610.07,308.7,0,249.9
fold_20250529_s47_fl_syb_fullsn_stx3_sn_094_model_0.cif,0,148.46,385.21,0,0,202.51,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_095_model_0.cif,0,55.32,353.38,0,416.86,250.77,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_096_model_0.cif,0,22.74,378.68,596.71,266.91,0,225.54
fold_20250529_s47_fl_syb_fullsn_stx3_sn_097_model_0.cif,0,51.64,398.61,606.6,257.69,0,225.72
fold_20250529_s47_fl_syb_fullsn_stx3_sn_098_model_0.cif,0,31.2,229.95,0,290.6,394.36,0
fold_20250529_s47_fl_syb_fullsn_stx3_sn_099_model_0.cif,0,10.3,304.48,676.22,287.77,0,225.83
fold_20250529_s47_fl_syb_fullsn_stx3_sn_100_model_0.cif,0,24.46,226.5,0,233.94,426.36,0